Week_Day,Date,BCN1W,BCN2M,BCN3M,BCN6M,BCN9M,BCN12M,BCN5Y,USDBRLH1W,USDBRLH2W,USDBRLH1M,USDBRLH2M,USDBRLH3M,USDBRLH6M,USDBRLH9M,USDBRLH1Y,USDBRLH3Y,USDBRLH5Y,USDBRLV1W,USDBRLV2W,USDBRLV1M,USDBRLV2M,USDBRLV3M,USDBRLV6M,USDBRLV9M,USDBRLV1Y,USDBRLV3Y,USDBRLV5Y,USDBRLQ1W,USDBRLQ2W,USDBRLQ1M,USDBRLQ2M,USDBRLQ3M,USDBRLQ6M,USDBRLQ9M,USDBRLQ1Y,USDBRLQ3Y,USDBRLQ5Y,BRLRRIS1W25D,BRLRRIS2W25D,BRLRRIS1M25D,BRLRRIS2M25D,BRLRRIS3M25D,BRLRRIS6M25D,BRLRRIS9M25D,BRLRRIS1Y25D,BRLRRIS1W10D,BRLRRIS2W10D,BRLRRIS1M10D,BRLRRIS2M10D,BRLRRIS3M10D,BRLRRIS6M10D,BRLRRIS9M10D,BRLRRIS1Y10D,USDBRLK1W,USDBRLK2W,USDBRLK1M,USDBRLK2M,USDBRLK3M,USDBRLK6M,USDBRLK9M,USDBRLK1Y,USDBRLK3Y,USDBRLK5Y,BRLBFIK1W25D,BRLBFIK2W25D,BRLBFIK1M25D,BRLBFIK2M25D,BRLBFIK3M25D,BRLBFIK6M25D,BRLBFIK9M25D,BRLBFIK1Y25D,BRLBFIK3Y25D,BRLBFIK5Y25D,BRLBFIK1W10D,BRLBFIK2W10D,BRLBFIK1M10D,BRLBFIK2M10D,BRLBFIK3M10D,BRLBFIK6M10D,BRLBFIK9M10D,BRLBFIK1Y10D,BRLBFIK3Y10D,BRLBFIK5Y10D
F,09/27/2024,5.44,5.47,5.49,5.58,5.67,5.79,7.75,12.84,13.96,12.69,14.12,13.81,12.81,11.55,11.29,14.55,16.32,14.47,14.48,13.718,14.347,14.042,13.925,13.7725,13.74,14.05,14.1625,-0.6326,-0.0514,-0.038,0.002,-0.019,0.021,0.022,0.014,0.003,0.0021,0.5471,0.6666,0.676,0.6805,0.7277,0.7698,0.9212,0.8481,0.5606,0.6337,0.6894,0.7012,0.7564,0.8157,0.897,0.9068,-0.0637,-0.071,-0.024,-0.013,-0.004,0,0.0016,0.002,0.002,0.0008,1.0208,1.1658,1.3653,1.4248,1.5497,1.7711,1.8961,2.0157,2.6753,2.9613,0.8937,0.9032,1.0786,1.0949,1.1681,1.2881,1.1963,1.4065,1.7707,1.8753
TH,09/26/2024,5.44,5.48,5.5,5.58,5.67,5.79,7.72,17.16,15.05,13.28,14.12,14.2,12.86,11.55,11.29,14.57,16.32,14.69,14.8975,14.185,14.62,14.398,14.005,13.8475,13.818,14.24,14.335,0.0289,-0.0932,-0.007,0.002,-0.004,0.021,0.022,0.014,0.003,0.0021,0.5397,0.6524,0.6569,0.6754,0.7152,0.7741,0.9146,0.8506,0.5522,0.6183,0.6729,0.6981,0.7443,0.8132,0.8896,0.9153,-0.2372,-0.1107,-0.036,-0.013,-0.005,-0.001,0.0016,0.002,0.002,0.0008,1.0145,1.1332,1.3203,1.4073,1.5115,1.7327,1.8763,1.9758,2.6581,2.9441,0.8804,0.8828,1.0508,1.0845,1.1469,1.2808,1.1925,1.3986,1.7497,1.8553
W,09/25/2024,5.48,5.51,5.53,5.61,5.71,5.82,7.76,17,14.9,13.51,14.12,14.14,12.82,11.52,11.27,14.57,16.33,14.725,14.835,14.545,14.595,14.523,14.017,13.8925,13.865,14.365,14.415,0.0383,-0.0892,0.018,0.002,-0.003,0.022,0.0225,0.015,0.003,0.0021,0.5278,0.5966,0.6636,0.6925,0.7182,0.7742,0.7836,0.8421,0.5151,0.5704,0.6301,0.6789,0.7096,0.774,0.7928,0.8387,-0.2262,-0.1053,-0.04,-0.013,-0.005,0,0.0018,0.002,0.002,0.0008,1.0121,1.0135,1.215,1.3374,1.4258,1.6653,1.6139,2.0261,2.5615,3.129,0.8981,0.8225,1.0122,1.0938,1.1471,1.2953,1.2754,1.4571,1.8133,2.1364
TU,09/24/2024,5.46,5.49,5.51,5.59,5.69,5.8,7.75,17.01,14.75,13.46,14.09,14.35,12.83,11.53,11.31,14.57,16.33,14.91,14.955,14.722,14.988,14.593,14.065,13.955,13.895,14.175,14.345,0.0267,-0.0951,0.017,0.002,0.002,0.022,0.0226,0.015,0.003,0.002,0.5176,0.5777,0.648,0.6729,0.7102,0.7684,0.7809,0.8387,0.5315,0.5514,0.6495,0.6759,0.7143,0.7852,0.788,0.8478,-0.2271,-0.0975,-0.038,-0.012,-0.006,0,0.0018,0.002,0.002,0.0008,0.973,0.9965,1.2721,1.364,1.4732,1.7535,1.635,2.1356,2.5959,3.1535,0.8404,0.8012,0.9975,1.0311,1.104,1.2494,1.1388,1.3882,1.835,2.1469
M,09/23/2024,5.54,5.57,5.6,5.67,5.77,5.89,7.93,13.62,14.37,12.39,13.61,14.2,12.65,11.4,11.22,14.55,16.31,14.965,15.1275,14.837,14.975,14.65,14.195,13.9825,13.905,14.198,14.64,0.533,0.1563,0.099,0.022,0.015,0.028,0.0269,0.018,0.003,0.0021,0.5238,0.5733,0.6707,0.7054,0.7393,0.7896,0.808,0.8637,0.4896,0.5609,0.6106,0.6765,0.7194,0.7747,0.7977,0.8325,-0.0825,-0.1027,-0.03,-0.009,-0.006,0,0.002,0.002,0.002,0.0008,0.9782,0.9765,1.1822,1.2946,1.3774,1.6166,1.8393,2.0203,2.5917,3.081,0.8862,0.8404,1.007,1.088,1.1621,1.2971,1.3403,1.4765,1.8321,2.1036
F,09/20/2024,5.51,5.55,5.57,5.64,5.74,5.86,7.84,15.01,14.23,13.77,13.88,14.25,12.64,11.44,11.23,14.56,16.31,14.165,14.3325,13.837,14.378,14.347,13.863,13.7775,13.685,14.077,14.4975,0.2788,0.1555,-0.022,0.03,0.014,0.028,0.0257,0.018,0.003,0.0021,0.427,0.4577,0.5955,0.6373,0.6688,0.7412,0.7708,0.8288,0.4041,0.4492,0.5566,0.6191,0.66,0.7379,0.7786,0.8198,-0.2004,-0.0956,-0.027,-0.012,-0.006,0,0.0019,0.002,0.002,0.0008,0.9869,0.957,1.239,1.3301,1.388,1.6459,1.8475,2.0335,2.5951,3.0839,0.9181,0.8768,1.0481,1.1079,1.1611,1.2992,1.3444,1.4709,1.8503,2.1117
TH,09/19/2024,5.43,5.46,5.48,5.56,5.65,5.76,7.65,12.58,11.95,14.07,13.34,13.91,12.45,11.29,11.12,14.53,16.3,14.61,13.91,14.165,14.698,14.48,13.945,13.8075,13.767,14.05,14.495,-0.5242,-0.0374,0.006,0.009,0.003,0.023,0.0225,0.016,0.003,0.002,0.4201,0.5116,0.5519,0.6174,0.6566,0.7336,0.7538,0.8214,0.4246,0.5007,0.5528,0.6176,0.6632,0.7483,0.7858,0.8298,-0.3074,-0.0955,-0.022,-0.009,-0.005,0.001,0.0021,0.002,0.002,0.0008,0.9388,1.0145,1.2383,1.346,1.4391,1.7307,1.9104,2.1171,2.6002,3.0936,0.8602,0.914,1.0213,1.0539,1.1177,1.2522,1.2806,1.3984,1.8513,2.1121
W,09/18/2024,5.46,5.5,5.52,5.59,5.68,5.78,7.66,12.46,13.05,13.9,13.27,13.86,12.43,11.28,11.16,14.53,16.3,16.24,15.53,15.245,15.13,14.71,14.09,13.925,13.855,14.173,14.64,-0.529,-0.1193,0.011,0.011,0.004,0.023,0.0227,0.017,0.003,0.002,0.3485,0.4439,0.5004,0.5806,0.638,0.7245,0.7418,0.8218,0.3503,0.4334,0.499,0.5798,0.6433,0.7348,0.7704,0.8232,-0.301,-0.1094,-0.017,-0.008,-0.005,0.001,0.0021,0.002,0.002,0.0009,0.8202,0.8832,1.1333,1.2814,1.4076,1.6942,1.8942,2.1227,2.587,3.0719,0.7513,0.8092,0.9394,1.0141,1.0927,1.2394,1.2645,1.3949,1.8353,2.0911
TU,09/17/2024,5.49,5.52,5.54,5.61,5.7,5.81,7.72,12.08,12.87,14.44,13.39,13.83,12.42,11.3,11.15,14.53,16.3,16.51,15.91,15.23,15.363,14.665,14.045,13.9075,13.852,14.198,14.6425,-0.5649,-0.1195,0.036,0.015,0.004,0.024,0.0223,0.017,0.003,0.0021,0.3529,0.3984,0.5133,0.579,0.6483,0.7315,0.746,0.8228,0.3509,0.3973,0.5138,0.5821,0.6557,0.7454,0.7806,0.8293,-0.2651,-0.0995,-0.028,-0.009,-0.004,0.001,0.0021,0.002,0.002,0.0009,0.8148,0.8538,1.1431,1.2706,1.4209,1.7184,1.8966,2.1231,2.5825,3.0714,0.7435,0.7715,0.9379,1.0059,1.0986,1.2459,1.2688,1.3951,1.8347,2.0908
M,09/16/2024,5.52,5.55,5.57,5.64,5.74,5.84,7.77,15.08,12.87,14.88,13.68,13.81,12.53,11.34,11.14,14.54,16.29,16.28,15.58,14.938,15.025,14.528,14.03,13.8325,13.802,14.198,14.6425,-0.0101,-0.1046,0.015,0.026,0.005,0.021,0.0233,0.017,0.003,0.0021,0.3688,0.4496,0.5538,0.6076,0.6613,0.7387,0.746,0.837,0.3516,0.4357,0.5226,0.592,0.6554,0.7387,0.7861,0.8281,-0.2937,-0.0995,-0.036,-0.012,-0.004,0,0.0019,0.002,0.002,0.0009,0.8749,0.8804,1.1655,1.2816,1.389,1.6451,1.6781,2.0544,2.5825,3.0624,0.7854,0.7926,0.9709,1.0504,1.1367,1.2811,1.3285,1.4557,1.8347,2.0908
